Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,249.950113920614
0.07,nan
0.08,nan
0.09,nan
0.1,268.9971179055205
0.11,272.9982702317583
0.12,275.40947900387994
0.13,275.9397996287948
0.14,273.64396840343204
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,254.0127184206452
0.2,257.2845386219263
0.21,259.55505644801
0.22,260.15496295685426
0.23,260.4160171150607
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,187.7194562805277
0.49,191.21995497821115
0.5,196.0803948329163
0.51,195.90103427704832
0.52,193.9583710632624
0.53,nan
0.54,nan
0.55,nan
0.56,167.56473968939986
0.57,nan
0.58,nan
0.59,162.81344023418882
0.6,164.55459633938682
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,170.0684481318866
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,168.2769346258787
1.11,169.75206442042972
1.12,169.9916535255011
1.13,169.8221575978368
1.14,168.92977012327094
1.15,168.75107067680443
1.16,170.80490835374763
1.17,173.78287279829237
1.18,176.10723718615984
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,331.1898775884734
1.49,333.9658015574157
1.5,334.5244962852883
1.51,335.9610890536519
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,370.20026425889336
1.87,371.5017236437756
1.88,370.8507904627194
1.89,369.0360941838572
1.9,369.1513724776573
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,312.6978763557985
1.99,316.8328719286838
2.0,316.71080151503685
2.01,316.19609512468134
2.02,314.9584379058628
2.03,312.7663788661355
2.04,nan
2.05,nan
2.06,nan
2.07,312.46229395706234
2.08,312.21343702142093
2.09,nan
2.1,305.3043711566147
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,272.4622578588244
2.22,nan
2.23,nan
2.24,nan
2.25,284.2167305945501
2.26,289.18623548716334
2.27,290.7019790544081
2.28,289.90719522810144
2.29,288.44324742159694
2.3,290.2658509222266
2.31,289.4882035216014
2.32,285.12590423757723
2.33,280.8604997001879
2.34,277.88726919922993
2.35,277.0331274338544
2.36,277.61312952115463
2.37,279.0244586980162
2.38,282.4494009572573
2.39,nan
2.4,nan
2.41,nan
2.42,nan
