Time,Frequency
0.0,275.7758694325259
0.01,276.3125101693864
0.02,276.1455266279328
0.03,275.6224900424126
0.04,275.0953423331034
0.05,274.401847224167
0.06,273.2527523570802
0.07,271.1916542758598
0.08,271.1338331218311
0.09,272.49846730337305
0.1,275.8393185426163
0.11,281.73468585025216
0.12,nan
0.13,301.1101985545924
0.14,304.92187451889924
0.15,308.39324952632
0.16,310.7852755595668
0.17,311.3054554627161
0.18,310.8271164926019
0.19,308.93439122955385
0.2,304.55221752225617
0.21,299.1215929988777
0.22,293.48907029803456
0.23,290.07725832137555
0.24,287.79430535169007
0.25,286.42113493416934
0.26,286.261279043335
0.27,287.0807784758743
0.28,289.0845068326438
0.29,291.7851753184629
0.3,294.0031018055579
0.31,295.69792155457066
0.32,297.200497673903
0.33,298.5731710755371
0.34,300.3178659875437
0.35,302.2077146083608
0.36,302.6912241541674
0.37,301.5920706128376
0.38,299.3856724202351
0.39,295.22104721745205
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,317.6250393902981
0.55,320.1019591315458
0.56,323.28818971789394
0.57,326.32641222532067
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,262.774416187618
0.65,260.04100004300307
0.66,258.77353661833536
0.67,258.8572289135317
0.68,260.51731616781524
0.69,262.8852714830527
0.7,265.9693629606868
0.71,268.8359927785025
0.72,270.3383426669155
0.73,271.3631922140679
0.74,271.814464716974
0.75,271.75817409852544
0.76,271.2101804190088
0.77,270.3211331806768
0.78,267.9759469895954
0.79,nan
0.8,258.76688596431285
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,211.81706995587456
0.93,216.6495073235953
0.94,220.1592802552459
0.95,222.40137909822928
0.96,222.9480826328601
0.97,221.10194816609297
0.98,217.01242139823552
0.99,211.1940288752564
1.0,206.4043775060608
1.01,202.7475040662247
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,205.311621403078
1.42,207.87447679052173
1.43,209.53435205925604
1.44,210.66981382860544
1.45,211.1645087485722
1.46,211.1588084829516
1.47,210.31459835298836
1.48,209.08336820761332
1.49,205.3704029115532
1.5,201.37897003511023
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,203.9056010907495
1.59,207.57371233711865
1.6,210.11080970173825
1.61,212.49725205550743
1.62,214.128264219742
1.63,215.33346145546912
1.64,215.34105346404303
1.65,213.6574979628202
1.66,211.436473392659
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,206.901317979426
1.77,207.7919147817784
1.78,nan
1.79,nan
1.8,206.6633879838056
1.81,204.79927762857645
1.82,nan
1.83,201.993990993416
1.84,203.7436102893537
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,269.00123463400666
1.9,268.307603690135
1.91,266.1685574211201
1.92,263.848186042951
1.93,262.0572344922382
1.94,262.4473129705926
1.95,261.5992444806459
1.96,262.15337397545187
1.97,262.1919011561188
1.98,262.0822460629967
1.99,261.3612560034695
2.0,261.8282702630331
2.01,263.05995841991086
2.02,264.7675977280031
2.03,267.1903611206354
2.04,268.1499266399153
2.05,269.8427407855227
2.06,271.0133915290224
2.07,271.9996770326684
2.08,272.46161310423685
2.09,271.70350283127647
2.1,270.57446343413574
2.11,269.0130814215967
2.12,267.3797273303745
2.13,265.73380383353816
2.14,264.3611248319244
2.15,263.5558422080005
2.16,263.4338777384356
2.17,263.9714171460424
2.18,265.8033639742421
2.19,267.8763616506291
2.2,268.17165893734784
2.21,267.4949882415114
2.22,265.23607116646207
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,214.74379880503483
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,285.3373461181643
2.37,nan
2.38,274.0081378059129
2.39,271.1368061886292
2.4,268.7110323342381
2.41,267.0666045386941
2.42,265.9310865761656
2.43,265.33330632082675
2.44,264.78863279276334
