Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,250.49559740059505
0.04,252.1529780509944
0.05,nan
0.06,nan
0.07,nan
0.08,331.3994098986286
0.09,340.602503835303
0.1,353.98643393799284
0.11,nan
0.12,391.0242056768371
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,278.3257839485692
0.24,282.18844701911485
0.25,286.4265156718442
0.26,287.5440407121587
0.27,286.4643429075498
0.28,nan
0.29,nan
0.3,257.33981407644586
0.31,255.74911445133347
0.32,255.29033130527063
0.33,253.8068843532125
0.34,249.27662392464524
0.35,245.16945967330017
0.36,245.0796598471668
0.37,250.99239998799845
0.38,258.979546084178
0.39,267.3162718597897
0.4,273.2925963385084
0.41,277.4392867546628
0.42,279.486531735076
0.43,279.81636576448926
0.44,278.2321100800602
0.45,274.99733341313384
0.46,270.26840157163394
0.47,260.66494252574336
0.48,253.1710696989346
0.49,245.4817384471615
0.5,244.4168948552329
0.51,250.2297825754283
0.52,257.10973700964155
0.53,266.39711346064394
0.54,273.94197924178053
0.55,278.3910764757979
0.56,283.9955280993487
0.57,284.413650904333
0.58,283.65954938522293
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,276.32009243738406
0.67,280.75259146365755
0.68,281.2352571498242
0.69,277.1933933657572
0.7,271.5489217208507
0.71,267.8504177855522
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,339.0349243707568
0.84,341.4432043413991
0.85,344.7354275993701
0.86,349.2577075602259
0.87,353.39004640347014
0.88,359.0210331740138
0.89,364.02492482912487
0.9,367.9567070203456
0.91,368.3815391892312
0.92,366.1158300948666
0.93,361.9593651655624
0.94,355.60937697447275
0.95,nan
0.96,nan
0.97,335.88468054999646
0.98,336.53304140921864
0.99,340.0282267767781
1.0,344.467096907875
1.01,347.95308978793094
1.02,351.4450249948832
1.03,354.3368239919556
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,342.10698214484705
1.14,339.993553129074
1.15,339.0944588663596
1.16,338.6848709455882
1.17,336.78607076115617
1.18,335.96598619921065
1.19,336.8906397200757
1.2,339.7961610908818
1.21,342.2743794682722
1.22,345.8298545520581
1.23,nan
1.24,nan
1.25,369.8238882478346
1.26,370.0367670220703
1.27,367.77289858610186
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,329.6393518191212
1.33,328.48091522095103
1.34,329.76464623540767
1.35,332.32116204569354
1.36,336.5804041300672
1.37,345.98251718381624
1.38,nan
1.39,nan
1.4,374.0982014119073
1.41,374.7210125010429
1.42,374.54120379254135
1.43,369.4917471127053
1.44,360.4195958328251
1.45,351.83620042209714
1.46,343.7187753710164
1.47,336.30145715064543
1.48,332.27940607206665
1.49,331.7116134823591
1.5,333.27080173826823
1.51,336.2685701535146
1.52,349.23925624784766
1.53,356.6321457378557
1.54,359.7942918912523
1.55,365.7687331869448
1.56,370.07581955026063
1.57,369.1700470388761
1.58,360.6900687108168
1.59,349.509855829612
1.6,341.04480610754086
1.61,332.2558182007912
1.62,327.1769218669369
1.63,330.0367600179113
1.64,nan
1.65,358.5534038795639
1.66,365.8604571733489
1.67,367.9964846225823
1.68,364.1812579279423
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,270.70539569045513
1.8,277.3940859731633
1.81,283.4656929355026
1.82,289.5525329512108
1.83,289.4472578309004
1.84,285.9616501657612
1.85,285.0924555157746
1.86,nan
1.87,nan
1.88,nan
1.89,305.29000106544845
1.9,308.07592304379165
1.91,310.5958905959404
1.92,nan
1.93,nan
1.94,374.5974397552196
1.95,412.381216222341
1.96,442.0250234638859
1.97,nan
1.98,nan
