Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,222.9144641577122
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,350.1937804776569
0.37,363.4820900772111
0.38,367.0480211895426
0.39,367.5239986241984
0.4,365.7462416081858
0.41,363.487474636369
0.42,365.1850263569103
0.43,368.4123712571762
0.44,371.8191217245742
0.45,374.47016602953977
0.46,376.797227400755
0.47,379.1531057591257
0.48,380.8959021654318
0.49,382.9975965729972
0.5,385.8701596996099
0.51,387.6894243239764
0.52,391.28791482981217
0.53,396.60218476320176
0.54,399.2026681362208
0.55,397.59677587008935
0.56,394.1593614770512
0.57,388.9039628455024
0.58,385.540129647863
0.59,384.11277469336136
0.6,383.8067295215333
0.61,383.9020160872448
0.62,385.0374516211882
0.63,387.9015008130602
0.64,391.8504304668487
0.65,393.8760337368869
0.66,394.3613866968905
0.67,391.6940126511884
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,385.2967117349553
0.77,384.1219251588106
0.78,380.3965693345021
0.79,378.475873968528
0.8,379.5376647709544
0.81,384.3216847122833
0.82,386.869122805696
0.83,388.8898502147831
0.84,390.337301285078
0.85,390.76784421574257
0.86,391.0869292502542
0.87,393.10997159781743
0.88,396.2824971654306
0.89,399.54225076254295
0.9,405.6372904375692
0.91,nan
0.92,nan
0.93,nan
0.94,314.4835046058119
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,237.80646138113715
1.01,238.253189752532
1.02,240.2039299553543
1.03,243.03414572094908
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,386.16867210861193
1.13,388.8871356465753
1.14,390.07908441958506
1.15,389.8381705310138
1.16,388.0882899556051
1.17,385.7006792837103
1.18,384.296919867324
1.19,nan
1.2,nan
1.21,377.3546750481541
1.22,379.5706310000335
1.23,382.7707083161813
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,377.64115142744754
1.29,376.4396718384856
1.3,374.7016484152672
1.31,372.28503848407166
1.32,370.8206167901624
1.33,372.2904856323147
1.34,378.0724042604144
1.35,382.452920269848
1.36,387.4309547001234
1.37,388.9936398092328
1.38,389.2202841276565
1.39,389.08327271050615
1.4,389.8123083010985
1.41,387.98073071156057
1.42,380.5063305572398
1.43,374.6388988781998
1.44,372.1998038398393
1.45,370.84122937525314
1.46,371.4650672281432
1.47,374.0843676939261
1.48,379.8047719079416
1.49,384.92991776135136
1.5,388.9380160575776
1.51,390.7280191096502
1.52,392.36552285396624
1.53,394.3020140842536
1.54,396.49693752790586
1.55,396.2706474272402
1.56,393.0589968646411
1.57,384.2705764988886
1.58,378.8560995826321
1.59,374.64099153124187
1.6,370.3737849587322
1.61,366.7231528427537
1.62,365.3729154375495
1.63,367.9425653032538
1.64,370.6660043548217
1.65,372.6159415649362
1.66,374.4110877883477
1.67,374.8078047217548
1.68,374.3274592764138
1.69,374.153420418734
1.7,372.5660070925929
1.71,369.4335117282356
1.72,365.717148875575
1.73,360.7172837256903
1.74,354.7620421572424
1.75,350.2385928522386
1.76,346.1845712365852
1.77,nan
1.78,nan
1.79,279.0102334056569
1.8,275.2873152116745
1.81,271.295921199953
1.82,nan
1.83,250.7315109144472
1.84,245.6130622692267
1.85,241.5828156325478
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
