Time,Frequency
0.0,373.5058047607872
0.01,374.1454219153328
0.02,373.5736328846649
0.03,372.8842942183223
0.04,372.8881233455671
0.05,372.93961814129744
0.06,372.77599163223016
0.07,372.4775469385907
0.08,372.2195793968712
0.09,372.0664318812797
0.1,371.6629510742643
0.11,370.8120720522861
0.12,370.2524020469141
0.13,370.3072908686677
0.14,370.82511410353794
0.15,371.4450638437422
0.16,371.69874778243593
0.17,371.9061924165334
0.18,371.5301241455892
0.19,371.4605434056402
0.2,371.8854919698612
0.21,372.232881390427
0.22,372.3364345781749
0.23,372.2181554306164
0.24,371.9558263019034
0.25,371.3568949076189
0.26,370.9794841349319
0.27,370.6454725263407
0.28,370.5151306394668
0.29,370.6633097376407
0.3,370.830105913301
0.31,370.79451750171927
0.32,370.1328361790371
0.33,369.0337211585185
0.34,368.479802185279
0.35,368.4408716168071
0.36,368.7090340482677
0.37,368.6396841038162
0.38,368.19215189678033
0.39,368.1211859920976
0.4,368.3856613008376
0.41,368.845014424507
0.42,369.0608802613843
0.43,368.9178440060902
0.44,368.7037813898188
0.45,368.86519194078033
0.46,369.089970791884
0.47,368.88339728117705
0.48,368.8147704623955
0.49,368.94181718749087
0.5,368.9761573063163
0.51,368.5643548668116
0.52,367.9800760656729
0.53,367.8777346758927
0.54,368.3668329743021
0.55,369.0355716912396
0.56,369.19869652062926
0.57,368.5262761769234
0.58,367.4745774427265
0.59,366.3278710806625
0.6,365.74541008565177
0.61,366.11586748046426
0.62,367.067039691988
0.63,367.5153895364234
0.64,367.3166933983976
0.65,366.432663978824
0.66,365.7333660650295
0.67,365.491341352423
0.68,365.3848875167387
0.69,365.5733182228727
0.7,365.3396005766457
0.71,364.4239802129415
0.72,363.7161219639671
0.73,363.7138225229628
0.74,364.00944302647787
0.75,364.3791865812018
0.76,364.1084360879876
0.77,362.8001798382203
0.78,361.6591284672819
0.79,360.3894660168789
0.8,359.711107080166
0.81,359.18848364580094
0.82,358.78840715460603
0.83,358.5430363320854
0.84,358.5925821560837
0.85,358.6477026698109
0.86,358.3460945237132
0.87,357.9205560311958
0.88,357.69441528862774
0.89,357.48855611684473
0.9,357.6399286193717
0.91,358.02927128552085
0.92,358.63978037139134
0.93,359.40875607896294
0.94,359.36029358119686
0.95,358.7166582890654
0.96,357.1790454704966
0.97,356.03439455386706
0.98,355.3339201002663
0.99,355.16613437490145
1.0,355.863418989957
1.01,356.4400029597406
1.02,357.20111998889035
1.03,357.61977149318307
1.04,357.77907177226945
1.05,356.9314845103809
1.06,355.6216531810646
1.07,354.7540429010956
1.08,354.8874499890252
1.09,355.3898512448959
1.1,355.79869038252235
1.11,355.7395639638214
1.12,355.1224948167488
1.13,354.3419501435369
1.14,354.3377357055083
1.15,354.36388614954967
1.16,354.6324381993508
1.17,355.098192179054
1.18,355.4511047937359
1.19,354.8811685538695
1.2,353.6800524362082
1.21,352.5063451859422
1.22,351.29105210344534
1.23,350.2400051842519
1.24,350.7193713470994
1.25,351.8374836700752
1.26,353.51786348574615
1.27,353.44830634298194
1.28,351.0760688917176
1.29,349.6686194752766
1.3,349.1316618150354
1.31,349.0609529342446
1.32,348.94354064698683
1.33,347.78802617203155
1.34,345.10976771245225
1.35,341.5015351379648
1.36,338.2265900830285
1.37,336.10595257680666
1.38,334.01988614592034
1.39,333.120809675056
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,341.5476819705347
1.56,337.8848217252224
1.57,335.5628322077817
1.58,335.4667400935573
1.59,338.07381861202936
1.6,342.5671107195487
1.61,346.7401311529148
1.62,348.8555071178501
1.63,349.3159322552196
1.64,348.6149927375394
1.65,347.7205813330768
1.66,345.9820576432379
1.67,342.977206762131
1.68,340.47658807736235
1.69,340.2895959068062
1.7,341.698378861328
1.71,343.64699970940467
1.72,344.84313502254804
1.73,344.6251560611972
1.74,343.4469536999913
1.75,341.33981713872225
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,382.7105780456895
1.84,386.6959591908716
1.85,389.1334415326476
1.86,389.887244132772
1.87,389.9692211238407
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,344.6421130404841
1.97,nan
1.98,nan
1.99,nan
2.0,368.46184782063466
2.01,374.1120884599696
2.02,376.390821500624
2.03,377.0728952540094
2.04,375.5633388154772
2.05,372.2124624986285
2.06,367.5159748327526
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,331.9260365620249
2.14,330.88338573753737
2.15,nan
2.16,332.0672421628788
2.17,330.4643328665828
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,379.8777531316279
2.41,383.4440591063008
2.42,386.0010940235349
2.43,386.737075309102
2.44,384.9349216617287
2.45,381.9484894191996
2.46,378.49449171333134
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,nan
2.53,348.993001714285
2.54,nan
2.55,344.82317507545406
2.56,341.14636998874147
2.57,337.29964501348155
2.58,336.754808344422
2.59,338.224903021066
2.6,340.9813618816147
2.61,345.1141620068738
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,365.4318275026745
2.67,368.52055856086713
2.68,nan
2.69,369.8471566915402
2.7,368.6483662068388
2.71,367.1769580391325
2.72,364.925718673704
2.73,362.3105306950723
2.74,358.256355533856
2.75,354.3411259561575
2.76,nan
2.77,nan
2.78,345.1146061550816
2.79,342.3275088614007
2.8,341.12010104006174
2.81,340.7832918335138
2.82,339.97450105443806
2.83,339.2137690464741
2.84,335.8875348726994
2.85,333.6284809042656
2.86,333.1101508999392
2.87,nan
2.88,346.90667100636426
2.89,349.9488863515024
2.9,351.11805402391394
2.91,352.4777610273668
2.92,353.3974625874898
2.93,353.23675795130134
2.94,352.66014868193395
2.95,351.4439110466605
2.96,349.8809158801016
2.97,348.96089813206834
2.98,348.5158711815857
2.99,348.800746761186
3.0,348.9401582294449
3.01,348.8344201713395
3.02,347.011617492284
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,318.12403454049723
3.23,320.0263641046748
3.24,319.70757724620995
3.25,317.9344504033601
3.26,315.7510192385446
3.27,314.6050595007541
3.28,313.9230762701906
3.29,314.4489935242213
3.3,315.1196023598904
3.31,316.29348242456507
3.32,317.7154357760893
3.33,318.70921574079097
3.34,320.2716488362902
3.35,322.1152956144008
3.36,323.62220063242864
3.37,324.760236737184
3.38,323.71194056777284
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,324.3319297120952
3.44,325.86415894301234
3.45,324.8472558631497
3.46,322.0280890718158
3.47,320.1642770804991
3.48,319.0838952955078
