Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,179.59354437178
0.27,178.5333573306428
0.28,178.92068004344242
0.29,nan
0.3,nan
0.31,nan
0.32,194.60466576239077
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,263.14953656109424
0.82,nan
0.83,264.61393234120897
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,252.0844969308606
0.89,255.0996654141292
0.9,257.1928865343506
0.91,260.38063177768623
0.92,263.9088125777116
0.93,266.1079989154697
0.94,267.5902456100423
0.95,269.107378572719
0.96,269.47151033605616
0.97,268.8191268180157
0.98,267.80186297099885
0.99,267.2635505156179
1.0,266.7997284824081
1.01,266.94711111077976
1.02,266.3113124526539
1.03,266.72638790815387
1.04,270.6854973956493
1.05,271.6438206076084
1.06,270.9410714739565
1.07,270.8195219825045
1.08,270.848064158334
1.09,271.47912165426794
1.1,271.04203245560643
1.11,269.721458137552
1.12,268.235618769336
1.13,267.4142296579279
1.14,266.2467927053909
1.15,261.86533382544405
1.16,254.7211914548256
1.17,248.0625999279542
1.18,244.9798487941424
1.19,241.6052131595511
1.2,239.3278716574011
1.21,nan
1.22,228.59198592505203
1.23,229.26652117198088
1.24,234.5629462511712
1.25,nan
1.26,nan
1.27,246.0789466968207
1.28,nan
1.29,nan
1.3,250.2886623335832
1.31,251.54444727859965
1.32,255.83345240518085
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,265.05311778875364
1.67,265.7924050303692
1.68,266.3401304915385
1.69,266.0390697778695
1.7,266.3716743714509
1.71,267.010186011796
1.72,268.3325906337828
1.73,270.03093053636576
1.74,271.5025392629962
1.75,nan
1.76,271.5374213560778
1.77,269.92159032143155
1.78,268.8152500716613
1.79,268.3236158351174
1.8,268.0996107491807
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
