Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,156.67248635509023
0.08,nan
0.09,180.42795936655
0.1,183.4151844328909
0.11,184.76299052516543
0.12,184.63788331201735
0.13,183.6049186799858
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,259.52911174816063
1.13,260.89516090597454
1.14,264.05214116654247
1.15,265.7772630055063
1.16,269.83056724708086
1.17,273.43502449585094
1.18,275.8743341669395
1.19,277.9039295091564
1.2,278.72762048081563
1.21,276.7545556104228
1.22,272.31682029361826
1.23,267.7393261020094
1.24,261.9361002971578
1.25,258.56367846203176
1.26,256.44326513215134
1.27,254.4483806192245
1.28,251.2310231975617
1.29,249.5899308946338
1.3,250.21683660334912
1.31,253.7962880701711
1.32,256.8905462908867
1.33,258.7710693979068
1.34,260.72646859869417
1.35,262.6125728537556
1.36,264.4069973386206
1.37,265.53548944621053
1.38,265.995383281373
1.39,264.53097963542587
1.4,263.0073166608794
1.41,261.77020456138195
1.42,259.4122331668066
1.43,nan
1.44,250.8796842782873
1.45,248.83644336625295
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,239.1067907828479
1.52,235.976142238231
1.53,233.39986350975383
1.54,230.45834814713075
1.55,227.0471727347777
1.56,224.27826816739605
1.57,222.6673248306057
1.58,220.7897327481488
1.59,219.6266172552027
1.6,219.3404809195636
1.61,220.2246748838388
1.62,221.8540050957677
1.63,223.6557119460431
1.64,224.88976703272385
1.65,225.0841076557168
1.66,225.10875369252244
1.67,225.96325713728817
1.68,227.7251685589526
1.69,230.60362200983448
1.7,233.34869071329777
1.71,235.0076346704996
1.72,235.52335208767207
1.73,236.2056621546388
1.74,235.9368441366268
1.75,234.33759354731816
1.76,231.2545906508992
1.77,nan
1.78,221.56136316021508
1.79,nan
1.8,219.34175967016563
1.81,220.1911195039262
1.82,222.41275064153103
1.83,nan
1.84,nan
1.85,231.4045084909926
1.86,232.79427306332195
1.87,234.0030397717107
1.88,235.09034478164045
1.89,237.91880998462705
1.9,241.07217881815387
1.91,244.10375038498003
1.92,nan
1.93,nan
1.94,261.1138037165083
1.95,268.1496598484293
1.96,272.02188278175095
1.97,275.5482074567001
1.98,280.97316750356333
1.99,286.17386857688695
2.0,287.13881770602165
2.01,nan
2.02,274.9563853330048
2.03,269.94967378076944
2.04,265.65536923923537
2.05,263.30290991558746
2.06,264.87991750671057
2.07,267.2823055400753
2.08,268.30126892803247
2.09,267.57633778617605
2.1,266.0407655069567
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,161.24984974827098
2.2,nan
