Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,320.07755571756866
0.5,318.2846801124017
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,249.86054051102744
0.74,nan
0.75,255.06524950385176
0.76,254.83172101559967
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,155.2981871125415
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,222.91032616092977
1.08,222.85893487813968
1.09,217.86349492787642
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,181.7649851514575
1.18,184.86714756679584
1.19,187.4097605944104
1.2,nan
1.21,nan
1.22,206.55918103663345
1.23,211.77800018724383
1.24,215.50073284985527
1.25,217.59514576066357
1.26,218.00177162142745
1.27,217.1279404477789
1.28,215.16813288497903
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,170.88690967407035
1.34,167.96921109560162
1.35,167.5478843177679
1.36,168.28821549489788
1.37,171.74739976850128
1.38,176.2054976969782
1.39,nan
1.4,nan
1.41,213.75107382660326
1.42,217.15678283917438
1.43,218.0377536338334
1.44,215.85414536812405
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,175.06787008481993
1.52,173.4037312585218
1.53,172.6692482784138
1.54,173.4785046277208
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,226.42817057004163
1.6,229.47976409761733
1.61,229.8451687122559
1.62,227.41872418744177
1.63,222.7242182035652
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,173.1143012300831
1.69,170.9568384945842
1.7,170.565049853113
1.71,173.43980995162215
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,223.28495327290173
1.79,218.4398982840712
1.8,214.67015048845374
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,175.24517293833202
1.88,179.21203565818473
1.89,188.7157943052404
1.9,195.88528610019392
1.91,203.31640580641425
1.92,209.77385405066883
1.93,213.2507689751051
1.94,213.47314345538533
1.95,208.5245993768531
1.96,nan
1.97,nan
1.98,182.9840179126453
1.99,178.58842454633364
2.0,176.9002452061659
2.01,177.7783861114078
2.02,179.40358750289386
2.03,nan
2.04,208.5791656525066
2.05,213.54206112080075
2.06,217.62039924219687
2.07,219.2790013868495
2.08,215.7899621341372
2.09,210.82562983293693
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,211.84440739354713
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
