Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,227.25745642025475
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,215.1525696524488
0.22,214.55377333836384
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,154.43759549102649
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,155.23826142519025
1.39,156.93507774173884
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,203.69442654049135
1.46,204.84737166005303
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,252.30142479324329
1.82,250.4284405517104
1.83,249.78720577494985
1.84,249.51598642597497
1.85,249.11583365071533
1.86,248.9117323662647
1.87,249.31592664057592
1.88,250.26742571491792
1.89,251.3845629569475
1.9,251.5969792388805
1.91,251.0908225035193
1.92,250.5744328509369
1.93,250.45129267213792
1.94,250.34495137451657
1.95,250.313589272445
1.96,250.45343155493208
1.97,250.78671612179065
1.98,251.28844785275592
1.99,251.68683257204617
2.0,251.46642446367105
2.01,251.00224581645
2.02,251.02174903185676
2.03,251.6756067007287
2.04,252.8323384047116
2.05,252.6156217430292
2.06,251.4190356236089
2.07,248.6415987824489
2.08,246.25486539523624
2.09,243.73758155379244
2.1,242.9584256757804
2.11,244.27283108627
2.12,245.53214277845595
2.13,246.69099823413768
2.14,247.680043722838
2.15,248.4848570322148
2.16,248.7690136401459
2.17,247.9215745797822
2.18,246.34139684177623
2.19,nan
2.2,nan
2.21,247.86784930155892
2.22,249.51260131273463
2.23,250.58411564546927
2.24,255.38252559836462
2.25,nan
2.26,nan
2.27,262.69362883309805
2.28,263.86740651757856
2.29,nan
2.3,nan
2.31,272.35249772376096
2.32,nan
2.33,291.5858997717143
2.34,293.372697105607
2.35,nan
2.36,nan
2.37,286.5378309731311
2.38,281.0317813071038
2.39,276.4862884418489
2.4,273.4964882520245
2.41,268.9894198352811
2.42,263.1159550916929
