Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,583.3724950443458
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,490.72884112006994
0.26,496.38259641050684
0.27,504.0697516220175
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,490.2859429841416
0.33,nan
0.34,nan
0.35,436.2530030232524
0.36,428.4242780709315
0.37,416.2860724098792
0.38,408.6760791591704
0.39,400.9871560957083
0.4,396.0350195396549
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,326.3520882017715
0.46,323.92530477897884
0.47,323.04607408475675
0.48,323.6963577095037
0.49,325.89814086123687
0.5,328.9524654744011
0.51,nan
0.52,nan
0.53,340.25734876329574
0.54,340.9085680698522
0.55,341.1391708511118
0.56,339.17150200367314
0.57,338.2771575618788
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,394.3408990023733
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,356.5156206256415
0.78,356.62461818652787
0.79,359.40313298149334
0.8,366.3053739773812
0.81,370.2770125094095
0.82,373.3318517159565
0.83,nan
0.84,nan
0.85,nan
0.86,367.52941363334565
0.87,366.3133958664974
0.88,362.3676125375145
0.89,nan
0.9,338.815531022234
0.91,336.4930966723058
0.92,335.05840036909456
0.93,nan
0.94,nan
0.95,nan
0.96,343.59616176296123
0.97,344.47706289168786
0.98,344.043842657783
0.99,nan
1.0,339.6374803277006
1.01,336.2800405014185
1.02,332.97662377865896
1.03,331.1085568479616
1.04,331.2431157968672
1.05,332.9437044184261
1.06,336.5043549943119
1.07,340.2924245320934
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,249.94899431696322
1.3,248.5157151555884
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,342.1632060180698
1.37,344.25151618593844
1.38,346.7193322926436
1.39,349.1729539862848
1.4,350.9223567896001
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,344.1134045341214
1.47,342.2129745916663
1.48,339.76873710969693
1.49,338.4741354778169
1.5,338.89032641610214
1.51,343.73751261195537
1.52,349.03479716682955
1.53,354.00412842797544
1.54,357.92458499575093
1.55,360.2949396069278
1.56,359.19792591988767
1.57,354.1548645213137
1.58,349.4870484934132
1.59,nan
1.6,328.26063537890104
1.61,323.2300954824552
1.62,321.89456399765265
1.63,322.7673271321862
1.64,325.7799763806461
1.65,329.14109947095113
1.66,332.0304621552329
1.67,nan
1.68,359.97685463745586
1.69,363.5283252300109
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
