Time,Frequency
0.0,262.64964092201933
0.01,263.7271616936335
0.02,268.66849266846987
0.03,nan
0.04,nan
0.05,nan
0.06,301.28693219363754
0.07,305.6964620038287
0.08,nan
0.09,307.2198893051763
0.1,304.87540629069383
0.11,299.7234461969819
0.12,nan
0.13,nan
0.14,nan
0.15,270.9224266530604
0.16,265.8157631985712
0.17,263.2969774269121
0.18,263.44546805906623
0.19,264.96836443256694
0.2,267.0329409159622
0.21,269.46532659983643
0.22,271.17529226265265
0.23,272.2901621797127
0.24,273.54970268156166
0.25,274.6902323331548
0.26,275.85936743067555
0.27,276.4154046406173
0.28,275.9284225185727
0.29,273.57728757548284
0.3,269.1594694722671
0.31,263.6468464163341
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,279.2093113976791
0.38,282.74020984245374
0.39,283.8796050032044
0.4,282.75806792105243
0.41,279.51559565087285
0.42,nan
0.43,266.8535934856722
0.44,260.2618018472426
0.45,258.53176223360754
0.46,259.0312566666001
0.47,262.223577719587
0.48,264.3601984366752
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,213.67509382751928
0.71,217.88946700698077
0.72,219.830415827854
0.73,218.79357412613305
0.74,214.29531386178385
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,269.9388469195662
1.13,265.040706943627
1.14,263.7577783449554
1.15,264.69215025097304
1.16,265.9225870316903
1.17,266.3762604745031
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,197.8221707521806
1.5,199.7256859555208
1.51,200.1490827848029
1.52,199.34655229429157
1.53,197.3344583743736
1.54,195.0018124096968
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,269.076328804481
2.19,270.08839091720256
2.2,271.00879890456264
2.21,271.681596355773
2.22,272.3830501057664
2.23,272.84154418660955
2.24,271.98151396655976
2.25,271.2208345113844
2.26,270.87055771392
2.27,270.3401090215337
2.28,268.52879964975267
2.29,266.3723232497152
2.3,264.81408537771875
2.31,265.77988069892933
2.32,266.87008401019347
2.33,268.3868705811734
2.34,270.5895278784269
2.35,272.97310677931733
2.36,274.5183590440744
2.37,276.2324538113919
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,nan
2.52,308.25909438948565
2.53,312.2044383740966
2.54,314.8765019120454
2.55,316.4601927840465
2.56,316.0526695980782
2.57,314.52099569901486
2.58,311.9533617598818
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
