Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,277.7949930306335
0.19,277.78008026741963
0.2,277.8641482039278
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,257.53278272281017
0.57,258.7142587321637
0.58,260.1102118458955
0.59,263.27834682718355
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,290.272705232122
0.65,293.4386640188314
0.66,295.6683611451864
0.67,297.3060784375162
0.68,296.72146192507773
0.69,nan
0.7,291.2103459418378
0.71,291.40220572544445
0.72,292.50978918673314
0.73,294.4269030299136
0.74,295.8857737802482
0.75,295.92964278020355
0.76,291.3133760730896
0.77,289.7139674321735
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,387.3546894197841
1.05,383.87922302612907
1.06,384.48639914375184
1.07,385.5803584476601
1.08,387.6888114341433
1.09,389.6224871682602
1.1,391.07331688531735
1.11,392.25694259488296
1.12,394.3520511069787
1.13,398.03154086213823
1.14,401.5730994846381
1.15,403.63783784110416
1.16,404.6711794208719
1.17,405.676928379323
1.18,405.79956809480416
1.19,403.8456154401541
1.2,400.3099185933477
1.21,nan
1.22,390.4682451679062
1.23,385.4256158463614
1.24,382.9215493207809
1.25,382.4008342715904
1.26,383.8753750888589
1.27,387.1197826834213
1.28,392.15345011153096
1.29,394.991728697582
1.3,395.8924658479376
1.31,396.45577020495386
1.32,397.52705469721
1.33,398.2266529816837
1.34,399.0928633252947
1.35,399.7179623954877
1.36,398.7097419679649
1.37,396.53804244545967
1.38,393.0552285979365
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,416.902817793268
1.49,419.5297948969744
1.5,420.6051292954393
1.51,418.74574108721913
1.52,413.5049902706986
1.53,nan
1.54,nan
1.55,383.2173458928443
1.56,379.25036622136304
1.57,nan
1.58,378.9228515066161
1.59,384.2145216002269
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,429.32878204114377
1.86,nan
1.87,nan
1.88,431.5189347097368
1.89,436.3782442564664
1.9,439.9366581362143
1.91,440.3534855724968
1.92,439.756341897346
1.93,437.0873741486307
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,440.2883387462448
2.13,443.1787038258344
2.14,445.05364188275456
2.15,445.2072651971076
2.16,443.6152707359536
2.17,441.5668484978115
2.18,439.7795914346965
2.19,438.2405480623897
2.2,437.5276237629589
2.21,437.7410376897921
2.22,438.3867564376207
2.23,438.9383756416052
2.24,439.1327842313967
2.25,438.5184727203963
2.26,438.1209309619276
