Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,237.77153154067295
0.41,nan
0.42,242.02708521501552
0.43,245.6544875947319
0.44,248.8753377544445
0.45,251.37202784843214
0.46,253.29077797555368
0.47,253.65633866335094
0.48,nan
0.49,253.2645324133024
0.5,252.95025783166153
0.51,252.92540130487978
0.52,252.1705466819381
0.53,249.91032708858856
0.54,247.44638102224894
0.55,245.37669907280883
0.56,nan
0.57,239.04507614596244
0.58,nan
0.59,235.59019812170976
0.6,234.8696665826577
0.61,234.1886996226735
0.62,233.27104833278776
0.63,232.92291729273782
0.64,233.08049057212585
0.65,234.31602026806036
0.66,236.1987860818616
0.67,238.55458610751842
0.68,240.77484883093837
0.69,242.72556553132137
0.7,243.66354065229763
0.71,244.90705392545524
0.72,245.92313366718477
0.73,246.59159132681367
0.74,247.04606917318364
0.75,246.90316250436564
0.76,246.59834189700928
0.77,246.24025122720786
0.78,245.7011507282044
0.79,244.95537725796066
0.8,244.2349142541512
0.81,243.33073545742647
0.82,242.8099057473529
0.83,242.1378567504252
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,265.8370631514446
1.14,266.116777261318
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,245.98264213059994
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,135.88926261311454
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,122.64408399067153
1.59,122.02010975245089
1.6,122.5074092434051
1.61,123.63226883756543
1.62,125.99368650873173
1.63,nan
1.64,133.2124189764784
1.65,134.0708175340893
1.66,134.15076604159162
1.67,132.43891218156963
1.68,130.4814447695187
1.69,127.9994728242898
1.7,125.27133727631549
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,nan
2.45,nan
2.46,nan
