Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,224.7124359443439
0.53,228.0468746630088
0.54,230.00684409937503
0.55,229.0824053823021
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,253.3532274631526
0.72,nan
0.73,nan
0.74,237.08496385084376
0.75,235.8281086824211
0.76,235.07258811873757
0.77,234.7699710179155
0.78,234.6980767756501
0.79,234.55216314820623
0.8,233.8712420046022
0.81,231.6572464932816
0.82,227.29611173147632
0.83,224.2017816357048
0.84,nan
0.85,231.8191725770613
0.86,236.49296893850791
0.87,241.3160409731561
0.88,246.6112274490123
0.89,nan
0.9,nan
0.91,239.11287664689144
0.92,236.74981462334296
0.93,233.930192658517
0.94,232.18405501891093
0.95,232.1134247764149
0.96,232.58157813129412
0.97,233.87200460127855
0.98,235.1872201402044
0.99,236.23866597976613
1.0,237.05257058016255
1.01,236.4627274436096
1.02,236.34217949359163
1.03,237.7175094697736
1.04,242.11313341766385
1.05,245.63424139926752
1.06,248.482852860343
1.07,248.56003016932823
1.08,247.24093885502677
1.09,243.6161569943525
1.1,nan
1.11,231.3990152207144
1.12,229.56099865482236
1.13,234.24960716319825
1.14,240.6669137963316
1.15,245.8193796348726
1.16,248.38501095209668
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,281.0677525074913
1.37,282.9501261859118
1.38,283.91126664369534
1.39,281.36152703355515
1.4,279.2919461340557
1.41,278.5010878508656
1.42,279.4550749505677
1.43,281.5663811883927
1.44,285.26395612377496
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,240.82123496260965
1.74,nan
1.75,246.12902137926343
1.76,246.1707171048521
1.77,243.4042041358732
1.78,238.36447761438075
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,219.89767221076897
1.89,221.25392363152145
1.9,222.77631073823872
1.91,225.2170459194197
1.92,nan
1.93,233.8940456601833
1.94,236.10461856664332
1.95,237.3520533605624
1.96,237.8608327206157
1.97,238.33692117376935
1.98,236.92695322627085
1.99,233.1138911122437
2.0,231.0382550113773
2.01,230.22271223384115
2.02,230.72488480783244
2.03,231.7859050697841
2.04,232.82520940282052
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,233.4435651568712
2.1,233.29365745758605
2.11,233.3963240072866
2.12,233.57235772426708
2.13,232.6813009632876
2.14,230.0466158795564
2.15,228.35485495360044
2.16,nan
2.17,246.08962640980167
2.18,245.5579543611544
2.19,241.84497530018876
2.2,236.4369064879675
2.21,229.43465087864573
2.22,229.06424977834857
2.23,232.44678356565743
