Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,317.39202427090333
0.19,314.55174823425045
0.2,312.69382718809067
0.21,308.88185326885923
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,417.44241575823264
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,362.4053185610751
0.84,356.4968973753181
0.85,345.86956496778106
0.86,342.37736515949314
0.87,346.1472393617652
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,394.5292265743832
0.94,400.5557048758433
0.95,401.878682326767
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,401.4919868400088
1.18,402.5705559700774
1.19,402.110451787792
1.2,400.6505475118553
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,349.6610217645363
1.3,350.7066709612073
1.31,349.3141653523974
1.32,348.3535351668643
1.33,nan
1.34,384.79340671608526
1.35,393.1682936064866
1.36,397.50665035165525
1.37,398.5238417787019
1.38,398.98224854299264
1.39,399.7237092999834
1.4,400.33095557810327
1.41,400.3670583688183
1.42,397.9492118351252
1.43,394.2933555511817
1.44,394.6474536601692
1.45,395.8827763820216
1.46,399.6472620431638
1.47,405.7781911032132
1.48,nan
1.49,nan
1.5,430.4244388220487
1.51,431.79265870025375
1.52,430.4170169775466
1.53,426.9984552761947
1.54,416.7149211100276
1.55,nan
1.56,394.8853876082705
1.57,387.2172127888276
1.58,381.34564669866165
1.59,378.40485594347336
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,308.0770017449802
1.83,302.60789708824376
1.84,300.10955050387736
1.85,nan
1.86,nan
1.87,292.3139503742
1.88,294.45367645947454
1.89,300.70439306037633
1.9,307.35941789487686
1.91,312.0982149721684
1.92,314.5041213052316
1.93,315.2258070797885
1.94,314.8474971591945
1.95,313.16874553194253
1.96,310.6501802403691
1.97,302.25746528220674
1.98,nan
1.99,283.1658863802826
2.0,279.1805582380072
2.01,280.77162379894725
2.02,283.96845189518035
2.03,286.1400492157453
2.04,285.57642868150094
2.05,nan
2.06,275.3217616892564
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,250.01939907185945
2.15,nan
2.16,249.12722836203852
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,267.96931653376544
2.25,268.9906575562863
2.26,271.28933498965995
2.27,270.3595803237899
2.28,264.07131147625813
2.29,259.0722385942618
2.3,256.56012228846583
2.31,nan
2.32,nan
2.33,nan
