Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,262.9333313491131
0.04,262.98306635405584
0.05,263.6547728696896
0.06,265.00532913979697
0.07,265.6398735251664
0.08,266.20948008893794
0.09,267.14900441797266
0.1,269.628725965704
0.11,272.1943914378001
0.12,273.8249802793804
0.13,275.4559945792739
0.14,275.8032031920632
0.15,275.60260929482223
0.16,275.3061209278699
0.17,275.0748551599765
0.18,274.73467862143093
0.19,273.84696117268123
0.2,272.39626129466683
0.21,269.6375044280604
0.22,265.59642309955206
0.23,261.53096601910835
0.24,259.30776196855794
0.25,257.8624974300278
0.26,257.95435986977844
0.27,259.824738961837
0.28,262.4680859583221
0.29,266.54040270859304
0.3,nan
0.31,274.10276632986944
0.32,276.89512969544256
0.33,277.8083841096589
0.34,277.75222991836125
0.35,277.00773390968936
0.36,275.8448566726808
0.37,273.7191040139793
0.38,269.88181098280273
0.39,264.73091004100564
0.4,nan
0.41,262.69748025790545
0.42,267.0886361223144
0.43,nan
0.44,278.1432564118315
0.45,282.21588503837097
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,414.6252866076634
0.99,nan
1.0,nan
1.01,414.22827249162185
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,385.3163605567752
1.07,382.9052552292161
1.08,381.8984349956167
1.09,381.8047894609165
1.1,382.2891818639741
1.11,381.28574749584
1.12,378.9372685494234
1.13,378.9143167829467
1.14,380.79097590806055
1.15,379.4728352184426
1.16,376.9356075596088
1.17,373.3466823137391
1.18,nan
1.19,365.5686027597146
1.2,362.2540658792992
1.21,360.8232926500601
1.22,361.97649485780505
1.23,363.0440644609701
1.24,361.6557312530552
1.25,360.0944262880211
1.26,357.993364616604
1.27,356.21429082424515
1.28,355.8492957177888
1.29,357.5718796538216
1.3,360.5295325615813
1.31,360.8489857348365
1.32,360.21970683100915
1.33,361.039369983597
1.34,361.38327447564745
1.35,360.0600654303053
1.36,358.5420442822544
1.37,355.8330710005341
1.38,352.9731686147406
1.39,351.9889556958853
1.4,352.2547572722545
1.41,352.39738767295086
1.42,352.1301160620285
1.43,349.38520680761053
1.44,343.0858917606019
1.45,336.068661364852
1.46,333.4219560641554
1.47,333.3474355132679
1.48,333.0566158337432
1.49,332.60022097103325
1.5,332.93942270163484
1.51,333.7287019288132
1.52,334.58320209135223
1.53,335.7744508463928
1.54,337.1945510802394
1.55,338.2507139759384
1.56,337.3130318937982
1.57,333.303081704394
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,253.3085827757466
1.88,253.6480998361085
1.89,255.47994410620225
1.9,256.8631637631565
1.91,258.23133482102253
1.92,259.5509663789744
1.93,260.63416045275824
1.94,262.7475781681688
1.95,266.0604497097892
1.96,271.4831553359131
1.97,275.05120104115576
1.98,276.86746623315867
1.99,277.7699788201801
2.0,277.50337890171363
2.01,276.56124886931923
2.02,275.36938619676164
2.03,272.6325490965803
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
