Time,Frequency
0.0,298.8443950157169
0.01,302.00191115260844
0.02,303.9479412936208
0.03,307.036974564766
0.04,311.68368528571017
0.05,313.7327395244839
0.06,313.58189091368064
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,276.10116719613995
0.27,276.2791500756874
0.28,277.2303411556676
0.29,280.3467978277793
0.3,283.726229169142
0.31,287.0568592641638
0.32,290.2347669234517
0.33,291.1781956788642
0.34,289.8394070465752
0.35,289.0529827178641
0.36,287.69359962901075
0.37,283.9171467153063
0.38,280.1872734893898
0.39,278.0504627958874
0.4,278.52006566464024
0.41,282.37449669952025
0.42,286.2476696661755
0.43,289.567714701083
0.44,290.64257144811154
0.45,nan
0.46,nan
0.47,292.485653836446
0.48,291.81611619543213
0.49,286.276013851542
0.5,281.2127810771213
0.51,278.7161473544102
0.52,278.25537693145947
0.53,279.11776032769365
0.54,281.88037201056227
0.55,284.54907694642094
0.56,287.63016202509755
0.57,290.0885443570056
0.58,291.8838554306633
0.59,293.2086207889659
0.6,293.16890774021704
0.61,291.483726758054
0.62,289.87080023116204
0.63,289.79584410910763
0.64,291.9994266468536
0.65,296.9223349293419
0.66,301.65352688562984
0.67,305.4984211596295
0.68,310.17786470584264
0.69,313.16802426519934
0.7,313.13557224967565
0.71,311.5737226970939
0.72,309.35570533779605
0.73,306.14984030441644
0.74,304.4503980127049
0.75,305.20151312433245
0.76,308.58600603615827
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
