Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,347.12021588796944
0.14,nan
0.15,361.99249995928994
0.16,362.0078061101512
0.17,361.1710007627972
0.18,359.62135085911035
0.19,358.812819540444
0.2,nan
0.21,nan
0.22,354.85132286819413
0.23,352.1395071739943
0.24,350.269336248811
0.25,348.9129839771549
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,354.12285581645045
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,357.7920597021447
0.45,358.6177927866236
0.46,356.89866595225453
0.47,353.2669518160233
0.48,350.4240376577874
0.49,350.3446861906338
0.5,351.6358811530364
0.51,351.9077278124156
0.52,351.23478625207963
0.53,349.8151682943324
0.54,348.05942380042205
0.55,346.8282903249605
0.56,345.8435319099612
0.57,343.83900893944394
0.58,340.5087684013889
0.59,337.42698628099924
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,350.70827336139024
0.84,351.1535928845336
0.85,350.4779692149757
0.86,349.82350938786107
0.87,nan
0.88,nan
0.89,nan
0.9,350.124770036154
0.91,349.0239164876932
0.92,348.5656906255428
0.93,348.26245008493174
0.94,348.45145561859334
0.95,349.2930176257338
0.96,350.7725636124675
0.97,352.57713100116484
0.98,354.00674533057395
0.99,355.5229977358261
1.0,355.26234009949064
1.01,355.2835644258331
1.02,354.9258985652508
1.03,354.9315728483881
1.04,354.96537981096606
1.05,355.19489847937
1.06,354.6535378670285
1.07,353.9335090983424
1.08,353.7473344393446
1.09,353.9543650112132
1.1,353.7047253401603
1.11,351.45091917652746
1.12,349.82984081645577
1.13,349.9919977425749
1.14,351.9331497274112
1.15,352.73195548933506
1.16,352.14513045243103
1.17,351.0727779366039
1.18,348.61785326448904
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,335.2353975000234
1.26,341.441966270678
1.27,349.3904072405593
1.28,355.06519122858845
1.29,357.5717023636962
1.3,358.2989518180806
1.31,357.1406414120367
1.32,353.18289629403006
1.33,349.79974076479124
1.34,348.3309782752817
1.35,348.2145071973075
1.36,349.6838989776848
1.37,351.98275693865287
1.38,352.4209604457632
1.39,352.94930285821124
1.4,353.48540827535066
1.41,353.5170540931034
1.42,352.22696642878503
1.43,350.2506993525574
1.44,349.30575059795615
1.45,348.80132920912786
1.46,347.83603608841224
1.47,348.0894491342321
1.48,346.69448453213033
1.49,345.0394995157614
1.5,343.1575362358403
1.51,341.0675524177741
1.52,339.00542748138287
1.53,338.2623844023784
1.54,337.9969165062777
1.55,338.48550600113504
1.56,338.9232681204677
1.57,339.9391546815464
1.58,340.3488833700937
1.59,340.2268593423516
1.6,341.2867010487395
1.61,347.2512136341056
1.62,350.3529904802658
1.63,nan
1.64,354.64052511923205
1.65,354.8808365835457
1.66,355.5219707450948
1.67,353.72744648050764
1.68,350.3807837018336
1.69,347.07049445376464
1.7,345.2201394746504
1.71,344.6921725223024
1.72,344.9323958479504
1.73,346.4170024095079
1.74,347.33986505242933
1.75,347.8589293742519
1.76,348.3732898377676
1.77,348.6111902546299
1.78,347.7470740892613
1.79,345.14243075383365
1.8,342.1043778391058
1.81,340.72113244077696
1.82,339.1746946030755
1.83,335.2880430366736
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,336.8258739809868
1.99,346.99707529788213
2.0,350.056736175756
