Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,455.43980799811175
0.19,459.69115122805306
0.2,461.4591684122535
0.21,462.0166560042595
0.22,461.85846066870425
0.23,460.8258205124024
0.24,458.7259599822994
0.25,453.6936839077224
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,367.3069542837735
1.57,365.70947731990975
1.58,nan
1.59,361.1511752172715
1.6,359.7656205062148
1.61,359.98345811162864
1.62,361.8734896291851
1.63,364.86796813704746
1.64,366.540730326362
1.65,367.1382574254113
1.66,366.5799002481946
1.67,364.2194395009787
1.68,360.0506193300931
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,166.6219133021581
2.1,164.98151154425972
2.11,164.23231785166047
2.12,163.65268837193418
2.13,163.30549864978525
2.14,162.99410947037347
2.15,nan
2.16,nan
2.17,157.96036370748791
2.18,156.9712995958643
2.19,156.37045185976692
2.2,155.56768491081183
2.21,154.96110969127164
2.22,155.38093997976495
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,168.34784258525187
2.29,172.12682684506308
2.3,174.35341542496974
2.31,177.25864219783747
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,168.9805961450138
2.38,166.39449591691306
2.39,164.99813376839597
2.4,164.41890473104024
2.41,163.8413111348325
2.42,164.03824670467628
2.43,164.6598361455113
2.44,164.86120006745728
2.45,nan
2.46,nan
2.47,nan
2.48,nan
2.49,nan
2.5,nan
2.51,334.9302059072137
2.52,337.59267665523885
2.53,339.85055310852
