Time,Frequency
0.0,nan
0.01,nan
0.02,251.26864053081908
0.03,225.09183106276757
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,157.43636447708613
0.54,158.40476014005492
0.55,158.8478314179635
0.56,159.32019406683676
0.57,159.08343611813737
0.58,158.2080527736752
0.59,156.49226407335777
0.6,154.8854866951388
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,164.62520577932634
0.72,nan
0.73,180.23051684652904
0.74,180.42543000285767
0.75,179.02204396883928
0.76,nan
0.77,166.18313097634015
0.78,160.06756258147476
0.79,155.12165673447885
0.8,150.70377141614193
0.81,nan
0.82,nan
0.83,150.4477036038005
0.84,155.75218108688236
0.85,nan
0.86,168.26528476478256
0.87,171.86177910734182
0.88,172.53710407918447
0.89,172.63115477269207
0.9,nan
0.91,167.6119650992055
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,167.39252161821807
1.0,168.41750240255251
1.01,168.8163656198335
1.02,169.51543025284053
1.03,169.55030449932053
1.04,170.03341596177532
1.05,171.0890891005056
1.06,171.03230408028287
1.07,170.19985308012906
1.08,169.68839029179523
1.09,169.34344124029317
1.1,168.8630341387846
1.11,167.5938431467694
1.12,166.70686877550173
1.13,167.77058420102526
1.14,168.7963051486281
1.15,168.6924900024528
1.16,168.55836120789138
1.17,169.23698407140736
1.18,168.92038210878735
1.19,167.30952769324074
1.2,164.72429807211714
1.21,161.68968158434436
1.22,157.56010218818207
1.23,154.14491579244088
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,152.55393989400395
1.33,154.26915782339003
1.34,155.87852291695268
1.35,156.8994794264496
1.36,157.95337114741136
1.37,158.4570770867109
1.38,158.48531507803568
1.39,157.36605776131586
1.4,156.0453539110622
1.41,154.61557854700425
1.42,152.83704023209918
1.43,150.5691373002024
1.44,nan
1.45,nan
1.46,150.06810324286914
1.47,152.22195880658452
1.48,154.13298747589863
1.49,155.75916421356564
1.5,157.10374051846887
1.51,160.4095297718137
1.52,165.29899551421153
1.53,171.4595619803713
1.54,175.42947370747302
1.55,176.9933474092786
1.56,176.24351052810343
1.57,173.40105150387018
1.58,168.42995534725918
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,150.419068787617
1.69,154.2380795927225
1.7,156.20570346767985
1.71,156.9116268659818
1.72,157.5751335176009
1.73,159.18350907629463
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,244.1138435593264
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,223.18300907815288
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,nan
2.27,nan
