Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,382.4842312977862
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,383.2513756331975
0.57,382.8582310199964
0.58,381.77233902621794
0.59,380.7257956766369
0.6,378.6684404091461
0.61,nan
0.62,nan
0.63,364.1502282290373
0.64,364.9914190250364
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,387.7174399823272
0.74,390.2373967481126
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,384.04790386542805
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,376.23402944280434
1.13,377.97511449390686
1.14,379.9911998304623
1.15,382.91672231589735
1.16,386.4522181176993
1.17,389.6290640593738
1.18,390.6849161817945
1.19,390.0499346862228
1.2,388.1820478733121
1.21,386.8854567377195
1.22,385.9652472894761
1.23,386.80109521158016
1.24,387.5736581652843
1.25,388.503957022623
1.26,392.2479676367667
1.27,nan
1.28,392.0701865229301
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,390.5469150642118
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,372.2225109197652
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,378.886863648201
1.5,381.3840623693216
1.51,384.688966804097
1.52,387.7664652030034
1.53,389.2185514958365
1.54,391.1196576031929
1.55,nan
1.56,393.3101622589965
1.57,391.2053856235122
1.58,390.0389020917295
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,379.5926146669905
1.65,380.5273910461131
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,391.2661678249983
1.75,393.64858510562703
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,392.02120688085904
1.81,nan
1.82,nan
1.83,383.88482971528
1.84,383.4354098987481
1.85,382.99156004483615
1.86,384.3480703204503
1.87,387.4145487643463
1.88,391.3203157391446
1.89,395.2899341404278
1.9,397.8577415969895
1.91,398.5360182107157
1.92,400.7287295219408
1.93,403.2723244927736
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,382.287616131556
2.02,381.9787906649364
2.03,377.899640156728
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,394.3795161680214
2.12,400.1130721604881
2.13,403.68411575648514
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,357.27843806725
2.22,356.8841763008787
2.23,354.97813258061126
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,392.3047036783867
2.32,391.1049747469818
2.33,388.73660678574834
2.34,385.04854335154187
2.35,nan
2.36,379.8144946043687
2.37,375.81600523838665
