Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,399.3364464859102
0.47,402.2885803463819
0.48,404.0860944354012
0.49,401.2510750096191
0.5,397.3773182011204
0.51,394.2627935000977
0.52,389.6206455878453
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,337.1279379947927
0.59,330.9695270629869
0.6,329.09091941865887
0.61,327.46407332842125
0.62,325.3205382189916
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,299.3592440091852
0.69,296.8860089836824
0.7,294.3365723127792
0.71,291.032521749965
0.72,285.94444787044034
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,241.27849941367532
0.78,236.24128580780643
0.79,229.7639799087269
0.8,225.85242240711602
0.81,223.03662884624268
0.82,220.81822243743716
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,213.65104803227615
0.88,212.97581287169797
0.89,213.28453985499675
0.9,214.4524889337272
0.91,214.52431904816112
0.92,214.7482754145703
0.93,212.50750701554895
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,229.00181795664793
1.0,226.44362690384733
1.01,224.6296676033453
1.02,219.02768453068768
1.03,nan
1.04,nan
1.05,nan
1.06,185.35666479862468
1.07,181.10729069849185
1.08,176.6655629829
1.09,176.60428931307007
1.1,181.09203684340255
1.11,nan
1.12,nan
1.13,nan
1.14,247.15809231417757
1.15,248.11520684768783
1.16,249.76761397929647
1.17,252.5031071391117
1.18,255.623853037641
1.19,258.3090225034671
1.2,260.60681958681306
1.21,nan
1.22,nan
1.23,nan
1.24,258.7750011135055
1.25,258.0930886467652
1.26,257.2468755620691
1.27,255.42761184172392
1.28,253.92133966315416
1.29,251.1291379781289
1.3,nan
1.31,247.27723263825717
1.32,nan
1.33,nan
1.34,238.4130123961594
1.35,237.78241464859292
1.36,239.67564840754795
1.37,240.8048139324057
1.38,240.4274297344242
1.39,237.8070337452685
1.4,nan
1.41,240.7981309505121
1.42,244.7278117228555
1.43,244.43704185341974
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,257.68904349466703
1.51,260.5708443947119
1.52,258.1648043683245
1.53,250.96976202368037
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,250.68256949307715
1.76,247.57489374152894
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,244.11328723333628
1.85,245.0184085895504
1.86,243.9873675010132
1.87,241.89908216170733
1.88,238.05624928006992
1.89,237.4436820075004
1.9,240.0932564613228
1.91,243.0685786854585
1.92,244.83764139487343
1.93,245.64015039658906
1.94,246.24929595402503
1.95,248.393703840662
1.96,250.22961794348404
1.97,250.8799412854703
1.98,251.0420757736902
1.99,250.7046520561707
2.0,250.27150566479747
2.01,250.24920738723813
2.02,250.85478498210648
2.03,250.91209735982906
2.04,248.87048096541122
2.05,247.9111836239557
2.06,246.27422127240152
2.07,244.41222432693274
2.08,244.32940246197398
2.09,246.0299337956961
2.1,247.8560007751852
2.11,249.3284369579385
2.12,249.32375680285924
2.13,248.07122956021723
2.14,246.80035605476667
2.15,246.19504997248868
