Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,257.1401274572245
0.13,259.6111041920448
0.14,261.20508539948776
0.15,261.57973530725405
0.16,263.23259297841497
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,312.1224603481976
0.22,314.5050115454999
0.23,314.84705315477606
0.24,311.3811281940509
0.25,304.03252669800065
0.26,298.89331495025874
0.27,nan
0.28,nan
0.29,280.0841290622862
0.3,280.6067593671456
0.31,nan
0.32,288.0636130868561
0.33,291.64933417782726
0.34,294.6733043036404
0.35,296.7966398396279
0.36,297.3307430585191
0.37,nan
0.38,nan
0.39,296.3432358161085
0.4,295.087546013873
0.41,nan
0.42,nan
0.43,nan
0.44,269.17250088540976
0.45,263.72326933738105
0.46,261.3554032648998
0.47,261.4195119045197
0.48,262.17884865294866
0.49,264.4757056260467
0.5,267.7729813679706
0.51,268.9335354361523
0.52,nan
0.53,nan
0.54,272.37034335435845
0.55,272.9346538010119
0.56,272.79124169605444
0.57,270.4313898182586
0.58,266.88644541691
0.59,262.1863301497653
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,300.1905350042458
1.04,300.2319394152341
1.05,297.9152479932323
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,295.66815084938924
1.12,293.6858974031792
1.13,292.0506574493353
1.14,289.61322010567085
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,206.28017847354425
1.24,206.8185490615539
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,208.96628612667885
1.34,209.69193336202807
1.35,209.73033430592895
1.36,209.63136767461475
1.37,209.2523800481625
1.38,209.1814908583967
1.39,209.8584343434849
1.4,211.69510167490003
1.41,214.0861271548897
1.42,215.83686875392402
1.43,217.13342523006588
1.44,218.4073435655195
1.45,219.61521852814707
1.46,220.3949181834749
1.47,220.57153528911965
1.48,221.1532652693927
1.49,221.78915362916402
1.5,221.71283312211548
1.51,220.94233240614855
1.52,220.43743879645373
1.53,220.6051148589867
1.54,221.1935888210283
1.55,221.69883982594968
1.56,221.8659417725177
1.57,221.62084741216503
1.58,221.2508702329349
1.59,221.05805644829536
1.6,221.7490372241138
1.61,222.64685306593793
1.62,nan
1.63,235.64346424339212
1.64,236.58540197247544
1.65,235.63277327671364
1.66,233.15801028508716
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,287.7838816606268
1.74,292.9392498684449
1.75,296.8239750495022
1.76,299.9120813353512
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,299.632408012615
1.83,301.2542373359645
1.84,302.55156435905985
1.85,302.9970853477415
1.86,302.954346466499
1.87,302.674097927414
1.88,302.52829770262423
1.89,302.408627919975
1.9,302.4491476709684
1.91,303.02151948474057
1.92,304.5374128135551
1.93,305.2466691083734
1.94,303.90558083033034
1.95,302.3490692057497
1.96,299.0385535044103
1.97,290.1807899218165
1.98,287.7042914301936
1.99,289.0257520959872
2.0,292.59623858936504
2.01,299.7662828865001
2.02,304.6551513661053
2.03,306.8155500159341
2.04,306.9787436984876
2.05,305.7538542153922
2.06,304.1028427190841
2.07,300.67233277036314
2.08,296.3676335985177
2.09,293.12966035945414
