Time,Frequency
0.0,267.9622532449918
0.01,266.7146798598545
0.02,265.0115057646252
0.03,262.7489112327026
0.04,262.12720941728026
0.05,261.17889967726177
0.06,260.8338079621236
0.07,261.1969699268468
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,273.46400966818464
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,268.4393150110691
0.37,270.3417595361977
0.38,272.1489065645543
0.39,273.79604314925353
0.4,274.9384870814982
0.41,275.23180321393187
0.42,275.3189176215757
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,332.70210836663773
1.55,337.57040463288087
1.56,342.02935075974125
1.57,343.92869960669003
1.58,343.5335308213652
1.59,341.288587756789
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,362.9278304061132
1.8,365.9591438888153
1.81,nan
1.82,378.00602426292
1.83,380.36874376337033
1.84,380.9198051961005
1.85,378.8201245578986
1.86,374.328684256872
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,327.8620462241693
2.1,329.2243321380362
2.11,331.78714607078325
2.12,331.2773235172535
2.13,328.5353587366169
2.14,326.9352970901591
2.15,328.8505319156621
2.16,331.55199630377604
2.17,334.4629473337863
2.18,335.88276739793616
2.19,338.6510853818384
2.2,339.9075367992991
2.21,338.45190674165667
2.22,336.3141974861617
2.23,332.75607944399553
2.24,nan
2.25,nan
2.26,nan
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,323.414931802805
2.32,324.2283940341206
2.33,323.9605479853534
2.34,324.3491474020933
2.35,323.5301695982913
2.36,320.7372633636473
2.37,317.7330670086308
2.38,317.0681501532274
2.39,319.1568443059823
2.4,322.1678106749681
2.41,nan
2.42,318.7876169036621
2.43,317.56274885343265
2.44,316.7341891513165
2.45,316.2083795422197
2.46,315.80775130027666
2.47,315.872005333815
2.48,315.5612210103143
2.49,314.3261788335098
2.5,313.389970185518
2.51,312.654891987981
2.52,311.8594487985248
2.53,309.4163947278116
2.54,306.13748776566564
2.55,302.89678514877977
2.56,300.84782257801794
2.57,298.8716688429976
2.58,nan
2.59,nan
2.6,nan
2.61,nan
2.62,nan
2.63,nan
2.64,nan
2.65,nan
2.66,nan
2.67,nan
2.68,nan
2.69,nan
2.7,nan
2.71,nan
2.72,nan
2.73,nan
2.74,nan
2.75,nan
2.76,nan
2.77,nan
2.78,nan
2.79,nan
2.8,nan
2.81,nan
2.82,nan
2.83,nan
2.84,nan
2.85,nan
2.86,nan
2.87,nan
2.88,nan
2.89,nan
2.9,nan
2.91,nan
2.92,nan
2.93,nan
2.94,nan
2.95,nan
2.96,nan
2.97,nan
2.98,nan
2.99,nan
3.0,nan
3.01,nan
3.02,nan
3.03,nan
3.04,nan
3.05,nan
3.06,nan
3.07,nan
3.08,nan
3.09,nan
3.1,nan
3.11,nan
3.12,nan
3.13,nan
3.14,nan
3.15,nan
3.16,nan
3.17,nan
3.18,nan
3.19,nan
3.2,nan
3.21,nan
3.22,450.5503493471026
3.23,451.6851881046829
3.24,454.14289200719344
3.25,453.1472642630454
3.26,453.37866636356887
3.27,454.4807361582958
3.28,nan
3.29,455.7916253041829
3.3,nan
3.31,nan
3.32,nan
3.33,nan
3.34,nan
3.35,nan
3.36,nan
3.37,nan
3.38,nan
3.39,nan
3.4,nan
3.41,nan
3.42,nan
3.43,nan
3.44,nan
3.45,nan
3.46,nan
3.47,nan
3.48,nan
3.49,nan
3.5,nan
3.51,217.74305015987065
3.52,221.7110010042786
3.53,224.456700646438
3.54,226.2595168434246
3.55,227.24019360134372
3.56,227.62021964094603
3.57,228.23158546448832
3.58,228.3151594316985
3.59,227.7167522012488
3.6,226.08134347127597
3.61,225.1227356605984
3.62,223.1879357698901
3.63,220.79893426111855
3.64,218.43855176919064
3.65,215.95159644158215
3.66,213.0880526589717
3.67,212.010626848932
3.68,212.0303763738424
3.69,212.514741195319
3.7,212.83532160320368
3.71,213.54137429478243
3.72,215.0880225970945
3.73,217.76974583597675
3.74,219.62908179756025
3.75,220.509573650242
3.76,220.79410613414043
3.77,221.5370402600832
3.78,222.2228861183339
3.79,222.02683190648895
3.8,220.4735879872136
3.81,216.5949123200312
3.82,211.9927337819411
3.83,208.66256032843376
3.84,205.48421959560216
3.85,204.43607973760948
3.86,204.5242370708337
3.87,205.47796347148932
3.88,206.64123349051945
3.89,207.92080794852
3.9,209.16121049859495
3.91,211.1321796740569
3.92,214.2224517173854
3.93,215.2288229437096
3.94,212.29156255072613
3.95,210.75979588536347
3.96,nan
3.97,nan
3.98,nan
3.99,nan
4.0,nan
4.01,nan
4.02,nan
4.03,nan
4.04,nan
4.05,nan
4.06,nan
4.07,nan
4.08,nan
4.09,nan
4.1,nan
4.11,175.4069691764921
4.12,175.5780989234629
4.13,175.04317743898105
4.14,173.6913398898999
4.15,172.66798862124148
4.16,171.77841374594718
4.17,nan
4.18,nan
4.19,nan
4.2,nan
4.21,163.0068694272828
4.22,nan
4.23,nan
4.24,166.5619971917696
4.25,166.7982623176738
4.26,165.92907409844557
4.27,165.88166671558702
4.28,166.4838247638163
4.29,167.77109143041042
4.3,167.1529394809807
4.31,168.33607560351084
4.32,169.67687853379718
4.33,171.57080739979276
4.34,173.12226618060134
4.35,174.49872095094128
4.36,nan
4.37,nan
4.38,nan
4.39,nan
4.4,nan
4.41,nan
4.42,nan
4.43,nan
4.44,nan
4.45,nan
4.46,nan
4.47,nan
4.48,nan
4.49,nan
4.5,nan
4.51,nan
4.52,nan
4.53,nan
4.54,nan
4.55,nan
4.56,nan
4.57,nan
4.58,nan
4.59,nan
4.6,nan
4.61,nan
4.62,nan
4.63,nan
4.64,nan
4.65,nan
4.66,nan
4.67,nan
4.68,nan
4.69,272.9386038394357
4.7,271.6235019430275
4.71,271.8581208085454
4.72,272.60007585434147
4.73,274.0477740871741
4.74,274.88064057840444
4.75,275.9706660168302
4.76,nan
4.77,nan
4.78,277.54802021946244
4.79,275.9632622392785
4.8,274.7400239408732
4.81,nan
4.82,273.3896811659593
4.83,272.62406557049974
4.84,271.94466831723645
4.85,nan
4.86,nan
4.87,nan
4.88,nan
4.89,nan
4.9,nan
4.91,nan
4.92,nan
4.93,nan
4.94,nan
4.95,nan
4.96,nan
4.97,nan
4.98,nan
4.99,nan
5.0,nan
5.01,nan
5.02,nan
5.03,nan
5.04,nan
5.05,nan
5.06,nan
5.07,nan
5.08,nan
5.09,nan
5.1,nan
5.11,nan
5.12,nan
5.13,nan
5.14,nan
5.15,nan
5.16,nan
5.17,nan
5.18,nan
5.19,nan
5.2,nan
5.21,nan
5.22,nan
5.23,nan
5.24,nan
5.25,nan
5.26,nan
5.27,nan
5.28,nan
5.29,nan
5.3,nan
5.31,nan
5.32,nan
5.33,nan
5.34,nan
5.35,nan
5.36,nan
5.37,nan
5.38,nan
5.39,nan
5.4,nan
5.41,nan
5.42,nan
5.43,nan
5.44,nan
5.45,nan
5.46,nan
