Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,nan
0.5,nan
0.51,nan
0.52,nan
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,260.1102825896569
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,293.4386784574994
0.66,295.66835666400686
0.67,297.3060585023007
0.68,296.7215316096152
0.69,nan
0.7,291.21039387595044
0.71,291.40222492170085
0.72,292.5097568261355
0.73,294.4268564253047
0.74,295.88576908088334
0.75,295.929485524255
0.76,291.31346372768894
0.77,289.7139450603334
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,384.4864200577781
1.07,385.5802259177364
1.08,nan
1.09,nan
1.1,nan
1.11,392.2568607360273
1.12,394.3519796646384
1.13,398.0315177560632
1.14,401.5731267279253
1.15,403.6377110909741
1.16,404.67107634466174
1.17,405.6768948982297
1.18,405.7994888238397
1.19,403.8455538412078
1.2,400.3098644755578
1.21,396.2074858838595
1.22,390.4682855306497
1.23,385.42567876374665
1.24,382.9214307227263
1.25,382.4008155367989
1.26,383.8751484639624
1.27,387.1197944393976
1.28,392.1534208692806
1.29,394.99177627424734
1.3,395.8926025631008
1.31,396.45585447824953
1.32,397.52700542458746
1.33,398.2265592426422
1.34,399.0928214184896
1.35,399.7179618436548
1.36,398.70975258528233
1.37,396.5381175103069
1.38,393.05528856019
1.39,388.6625580431263
1.4,nan
1.41,373.75277482063495
1.42,375.26065018337
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,412.3762764102504
1.48,416.9028365128413
1.49,419.52977347549165
1.5,420.605154347281
1.51,418.7456767534753
1.52,413.5049259879397
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,377.1797813726139
1.58,378.9229537023431
1.59,384.21452447906086
1.6,nan
1.61,397.8407701723473
1.62,nan
1.63,nan
1.64,420.3752307067618
1.65,422.1447667501138
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,448.59241699954896
1.75,453.4196565579957
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,429.3287864418164
1.86,424.7524178459616
1.87,425.3779079402278
1.88,431.51890720953145
1.89,436.3784090656345
1.9,439.936470825601
1.91,440.3535332874226
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,416.1344113990512
2.08,419.7476401751812
2.09,424.9787377452677
2.1,431.3840307584192
2.11,436.17802212522906
2.12,440.2883931074941
2.13,443.1787299633251
2.14,445.0535087318624
2.15,445.20717264823736
2.16,443.615325963708
2.17,441.56676794208533
2.18,439.77952136668847
2.19,438.2406108311864
2.2,437.5275169914662
2.21,437.74105350302455
2.22,438.3865643153019
2.23,438.93839755693045
2.24,439.1328294159808
2.25,438.51854568168017
