Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,371.2064990607179
0.19,374.2950769199088
0.2,374.5380554439745
0.21,374.27055027761975
0.22,372.57859667852347
0.23,370.2872227151301
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,323.2367078932141
0.4,324.98496247822584
0.41,326.4924038084353
0.42,326.4043235057889
0.43,325.3478458560912
0.44,325.0721915145332
0.45,324.549727251019
0.46,321.6563709479524
0.47,317.3811454545066
0.48,313.13763151368266
0.49,309.6983564445859
0.5,309.4705751585089
0.51,309.33875781017395
0.52,309.54089208321665
0.53,311.1052651996922
0.54,312.16690234219993
0.55,313.6104587335705
0.56,313.9992863811268
0.57,314.47093218204986
0.58,314.66267122166494
0.59,315.5199821281866
0.6,315.6589538062532
0.61,315.817910557823
0.62,316.46020064087406
0.63,316.2043934649903
0.64,316.56263087473303
0.65,316.40191732041365
0.66,316.65495322091294
0.67,316.65241829001457
0.68,316.2699947201276
0.69,315.0414625754469
0.7,314.2564697760938
0.71,313.50598772866186
0.72,313.3099692889547
0.73,313.91496694299144
0.74,314.6679641933577
0.75,314.5687748588804
0.76,313.39198247415186
0.77,312.0736485151514
0.78,310.5037132036502
0.79,309.266803253953
0.8,307.9620524597744
0.81,306.64487763640216
0.82,305.8198090742302
0.83,305.67263613351923
0.84,304.99453605984195
0.85,303.70905479429985
0.86,303.19343692664177
0.87,303.16418137737463
0.88,303.3217328193692
0.89,303.3696837407109
0.9,304.26736941678706
0.91,306.99215568397284
0.92,310.27758480378253
0.93,309.14551213844743
0.94,306.08116487832854
0.95,305.59777842163555
0.96,306.9108990678721
0.97,308.97526503256984
0.98,309.7800477864074
0.99,310.7657251875779
1.0,311.41862952514833
1.01,309.0210387531822
1.02,303.9441517341621
1.03,303.026161393722
1.04,301.4596574477289
1.05,300.5968943905258
1.06,302.7793250308386
1.07,304.8430403849076
1.08,301.40611865825247
1.09,298.3380872005467
1.1,298.1451459528064
1.11,298.319607969977
1.12,297.5411051371016
1.13,296.2434513891899
1.14,294.5980913794901
1.15,294.2933039538941
1.16,294.3523029665239
1.17,294.5937966078619
1.18,294.5296171596094
1.19,293.6892735619562
1.2,292.0039962627982
1.21,289.90401566078737
1.22,287.604834204535
1.23,286.70021214532187
1.24,286.31144654076274
1.25,285.4387862520939
1.26,284.4566907304106
1.27,284.4557738659232
1.28,284.664897742389
1.29,284.8302965400904
1.3,285.1950082847055
1.31,284.4714038035464
1.32,283.3237744128627
1.33,282.3081345774049
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,271.0810528560607
1.63,270.7028656831683
1.64,270.66051757504067
1.65,270.5999686409822
1.66,271.4533007449971
1.67,272.11566254653275
1.68,273.0443957279907
1.69,273.0558743730847
1.7,273.19849665131693
1.71,272.98451999672915
1.72,273.1583791061923
1.73,273.25579414826814
1.74,273.053725658325
1.75,272.71250736152143
1.76,272.6055295187472
1.77,273.01141262930975
1.78,273.7500436487568
1.79,274.6664292444566
1.8,274.856963227846
1.81,274.9403749509649
1.82,274.75036312577623
1.83,274.4210579674701
1.84,274.1682004304772
1.85,274.6925560309498
1.86,275.64603008974694
1.87,277.01669253167165
1.88,278.20313301492894
1.89,278.5811891607075
1.9,278.6417333340259
1.91,278.1653284623334
1.92,277.76215441943384
