Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,195.08416275269903
0.11,nan
0.12,nan
0.13,241.2079578046123
0.14,243.44163155613185
0.15,244.70696096838392
0.16,245.7134091455892
0.17,246.3207727687404
0.18,245.84448780355277
0.19,244.11882832431684
0.2,240.87696161780383
0.21,236.73702621811347
0.22,231.69170459944112
0.23,228.8919132570253
0.24,227.14349950404525
0.25,225.4596147404505
0.26,224.48862303867472
0.27,223.5661820187275
0.28,222.7815848236678
0.29,222.8024373801676
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,234.9805387185279
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,245.2750403967617
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,nan
0.48,nan
0.49,351.8320482151224
0.5,nan
0.51,nan
0.52,349.8097557126692
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,260.01231876474066
0.62,263.2828462267667
0.63,267.8020321588833
0.64,269.6593645302044
0.65,268.92003229908886
0.66,nan
0.67,nan
0.68,312.3817104222842
0.69,317.73532890656304
0.7,322.9711455512826
0.71,325.9110031489471
0.72,325.15284590148224
0.73,nan
0.74,nan
0.75,nan
0.76,275.8864988228503
0.77,271.4367168313022
0.78,nan
0.79,256.5100312367035
0.8,256.68499869659234
0.81,258.8139849510083
0.82,263.17631560231086
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,270.6283522807649
0.96,266.9762287148699
0.97,268.02495119636734
0.98,274.34353903197723
0.99,291.46215312913137
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,nan
1.06,nan
1.07,nan
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,nan
1.15,nan
1.16,nan
1.17,nan
1.18,nan
1.19,nan
1.2,nan
1.21,nan
1.22,nan
1.23,nan
1.24,nan
1.25,nan
1.26,nan
1.27,nan
1.28,nan
1.29,nan
1.3,nan
1.31,nan
1.32,nan
1.33,nan
1.34,nan
1.35,nan
1.36,nan
1.37,nan
1.38,nan
1.39,nan
1.4,nan
1.41,nan
1.42,nan
1.43,nan
1.44,nan
1.45,nan
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,nan
1.51,nan
1.52,nan
1.53,nan
1.54,nan
1.55,nan
1.56,nan
1.57,nan
1.58,nan
1.59,nan
1.6,nan
1.61,nan
1.62,nan
1.63,nan
1.64,nan
1.65,nan
1.66,nan
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,nan
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,nan
2.02,nan
2.03,nan
2.04,nan
2.05,nan
2.06,nan
2.07,nan
2.08,nan
2.09,nan
2.1,nan
2.11,nan
2.12,nan
2.13,nan
2.14,nan
2.15,nan
2.16,nan
2.17,nan
2.18,nan
2.19,nan
2.2,nan
2.21,nan
2.22,nan
2.23,nan
2.24,nan
2.25,nan
2.26,161.59254604702937
2.27,nan
2.28,nan
2.29,nan
2.3,nan
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,nan
2.42,nan
2.43,nan
2.44,174.09480766008903
2.45,174.67869792151984
2.46,173.9485554119618
2.47,172.1547225229622
2.48,168.6596021420425
2.49,164.60722536702647
2.5,nan
