Time,Frequency
0.0,272.8209657916774
0.01,273.14694888978454
0.02,274.46431991187603
0.03,276.8134408476104
0.04,279.3756398585915
0.05,283.4314031091928
0.06,291.8505478893954
0.07,299.7351639236054
0.08,305.7680233631617
0.09,309.87653582495807
0.1,310.0061509722219
0.11,310.2553635289259
0.12,310.9265481633958
0.13,310.9217706817771
0.14,312.9778955083852
0.15,316.46017344924496
0.16,321.83205103692774
0.17,327.09366698037616
0.18,332.0777322897905
0.19,344.7805737482844
0.2,349.3648745486046
0.21,355.40734768360124
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,298.900944062161
0.42,302.65001064689625
0.43,306.37957045461377
0.44,311.6490199164663
0.45,315.9428481212834
0.46,324.4667542055273
0.47,327.9770703064597
0.48,328.2796554803653
0.49,326.5435914031359
0.5,318.1085767354184
0.51,307.9812423464853
0.52,302.94891567996683
0.53,297.2604202200089
0.54,290.212625266287
0.55,284.9316100142121
0.56,279.6065015136062
0.57,277.78827609450724
0.58,279.1105930670751
0.59,285.1802484240614
0.6,290.03326017429856
0.61,293.9015143032604
0.62,296.2109958795947
0.63,297.3211387839083
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,354.11926583124176
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,nan
0.82,nan
0.83,nan
0.84,nan
0.85,nan
0.86,nan
0.87,nan
0.88,nan
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,nan
0.95,nan
0.96,nan
0.97,nan
0.98,nan
0.99,nan
1.0,nan
1.01,nan
1.02,nan
1.03,nan
1.04,nan
1.05,236.6028919218601
1.06,237.59391309330647
1.07,239.1792271054736
1.08,241.7340513567795
1.09,245.6078938268882
1.1,248.73466184654677
1.11,252.32736301925308
1.12,255.8228492612159
1.13,261.20832225436794
1.14,266.21585111517817
1.15,nan
1.16,269.29120775254154
1.17,267.35717623237053
1.18,264.6749793659236
1.19,260.8813773230836
1.2,257.3102221435781
1.21,251.86347818849583
1.22,247.2294759833217
1.23,245.07130624357129
1.24,244.21406881319865
1.25,245.47513768884616
1.26,248.72513330399687
1.27,253.9419995785379
1.28,258.08715436631104
1.29,262.5586264667004
1.3,267.33002260364094
1.31,271.0010091095547
1.32,271.82370677839634
1.33,270.9781590846108
1.34,270.06742898511925
1.35,268.12151918337184
1.36,262.61597758545884
1.37,256.96957505168234
1.38,252.14136157159817
1.39,248.26190441023957
1.4,247.77368958352184
1.41,248.55893448827317
1.42,251.9148396604544
1.43,256.912976594143
1.44,261.60035923716725
1.45,267.3063413671433
1.46,270.9599808171095
1.47,272.7036718398327
1.48,273.99739928242366
1.49,274.2840581644994
1.5,273.8918190606404
1.51,272.8854365113547
1.52,270.95006153806025
1.53,266.09928242029065
1.54,253.6640397551204
1.55,248.8141437148469
1.56,248.8807005624592
1.57,251.1185703617374
1.58,256.06174612721634
1.59,260.891914980237
1.6,265.03514452061995
1.61,268.8382554247551
1.62,270.88130705445
1.63,271.49649223701584
1.64,271.1787029033226
1.65,268.929225636892
1.66,265.2134910293676
1.67,nan
1.68,252.02591648058905
1.69,249.4483527669661
1.7,250.24459950868152
1.71,254.72541262413955
1.72,259.52657566592626
1.73,263.21430077388067
1.74,264.1976348183312
1.75,264.234609595624
1.76,262.8499832119534
1.77,nan
1.78,nan
1.79,nan
1.8,nan
1.81,nan
1.82,nan
1.83,nan
1.84,nan
1.85,nan
1.86,nan
1.87,nan
1.88,nan
1.89,nan
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,311.59806140032407
1.98,312.9333454105873
1.99,315.3664140003644
2.0,318.02618709222213
2.01,320.0141506368021
2.02,321.6797087232826
2.03,nan
2.04,323.00489496661794
2.05,nan
2.06,316.30190222156244
2.07,308.44898514258483
2.08,303.1126144798581
2.09,297.36291306905764
2.1,290.15027001327275
2.11,285.993589531843
2.12,282.9974928961664
2.13,281.52408479497376
2.14,281.1595542605643
2.15,283.6251302744506
2.16,288.49922118730046
2.17,293.55604359117217
2.18,296.98071245004
2.19,299.3422309931093
2.2,301.37488047516354
2.21,301.49341524464523
2.22,298.54767235389363
2.23,292.7216451276828
2.24,287.2311588776015
2.25,276.5037717639627
2.26,nan
2.27,254.51460210413003
2.28,255.1911269987413
2.29,nan
2.3,269.4464004848155
2.31,nan
2.32,nan
2.33,nan
2.34,nan
2.35,nan
2.36,nan
2.37,nan
2.38,nan
2.39,nan
2.4,nan
2.41,258.2380281227615
2.42,253.4664521659124
2.43,248.1337689927116
2.44,245.9550848901722
2.45,246.8658799966705
2.46,252.65921234608663
2.47,257.8761840334318
