Time,Frequency
0.0,nan
0.01,nan
0.02,nan
0.03,nan
0.04,nan
0.05,nan
0.06,nan
0.07,nan
0.08,nan
0.09,nan
0.1,nan
0.11,nan
0.12,nan
0.13,nan
0.14,nan
0.15,nan
0.16,nan
0.17,nan
0.18,nan
0.19,nan
0.2,nan
0.21,nan
0.22,nan
0.23,nan
0.24,nan
0.25,nan
0.26,nan
0.27,nan
0.28,nan
0.29,nan
0.3,nan
0.31,nan
0.32,nan
0.33,nan
0.34,nan
0.35,nan
0.36,nan
0.37,nan
0.38,nan
0.39,nan
0.4,nan
0.41,nan
0.42,nan
0.43,nan
0.44,nan
0.45,nan
0.46,nan
0.47,387.7825039656383
0.48,388.0683209884182
0.49,386.8513215457447
0.5,384.98544005606135
0.51,384.371046808069
0.52,354.89015029260173
0.53,nan
0.54,nan
0.55,nan
0.56,nan
0.57,nan
0.58,nan
0.59,nan
0.6,nan
0.61,nan
0.62,nan
0.63,nan
0.64,nan
0.65,nan
0.66,nan
0.67,nan
0.68,nan
0.69,nan
0.7,nan
0.71,nan
0.72,nan
0.73,nan
0.74,nan
0.75,nan
0.76,nan
0.77,nan
0.78,nan
0.79,nan
0.8,nan
0.81,350.9362032790046
0.82,361.9564188976495
0.83,369.2836201281758
0.84,373.6316364500121
0.85,377.2092215125208
0.86,382.50387801214526
0.87,385.531156712783
0.88,387.31013817358337
0.89,nan
0.9,nan
0.91,nan
0.92,nan
0.93,nan
0.94,356.15839891157987
0.95,356.2646014518956
0.96,356.22348885671204
0.97,357.74958271392063
0.98,359.9092836634426
0.99,360.87681339100834
1.0,363.8622500873273
1.01,366.5671890582352
1.02,368.31796120530055
1.03,368.60835288747046
1.04,367.2290227466388
1.05,362.37596000468017
1.06,354.41313762500585
1.07,346.1549615061854
1.08,nan
1.09,nan
1.1,nan
1.11,nan
1.12,nan
1.13,nan
1.14,330.317584674618
1.15,332.89410418792954
1.16,336.2893957288929
1.17,nan
1.18,nan
1.19,330.99220010908937
1.2,331.8925700555181
1.21,332.02733694454986
1.22,nan
1.23,nan
1.24,347.7276951015233
1.25,346.5889049752016
1.26,345.28590329026457
1.27,341.44538231531214
1.28,330.2888427212957
1.29,324.8008392220217
1.3,324.67406405219924
1.31,328.18220299568
1.32,332.4722409702763
1.33,334.0210713266747
1.34,333.29275080916386
1.35,332.31383417159265
1.36,331.73717665022093
1.37,nan
1.38,nan
1.39,nan
1.4,296.2051822269691
1.41,289.7037848810605
1.42,nan
1.43,276.4757837705262
1.44,275.2206353362532
1.45,277.3289779138199
1.46,nan
1.47,nan
1.48,nan
1.49,nan
1.5,327.4714097860498
1.51,330.9746901196845
1.52,334.8678057538232
1.53,338.587503204194
1.54,344.56991600293713
1.55,349.6705539618064
1.56,354.33768928552297
1.57,358.4887753477119
1.58,360.5622520373339
1.59,360.8285489758825
1.6,359.00804827082106
1.61,356.05203351761725
1.62,352.97526694849967
1.63,350.51777977278573
1.64,347.2648148080697
1.65,nan
1.66,330.79156690788045
1.67,nan
1.68,nan
1.69,nan
1.7,nan
1.71,nan
1.72,275.808598878246
1.73,nan
1.74,nan
1.75,nan
1.76,nan
1.77,329.4956620642173
1.78,331.69219789774195
1.79,333.193613619871
1.8,nan
1.81,nan
1.82,nan
1.83,361.3208831063613
1.84,363.4398631663767
1.85,359.9598439747269
1.86,356.90089594649965
1.87,353.6579522388582
1.88,351.3923134286414
1.89,347.8725966869723
1.9,nan
1.91,nan
1.92,nan
1.93,nan
1.94,nan
1.95,nan
1.96,nan
1.97,nan
1.98,nan
1.99,nan
2.0,nan
2.01,348.1832595121432
2.02,349.0946106628785
2.03,349.78196760164406
2.04,350.86781173850744
2.05,353.5002114524364
2.06,355.8450786769821
2.07,357.9884513242069
2.08,361.0875743083448
2.09,360.9202921342171
2.1,359.8750164189028
2.11,360.8490171804647
2.12,362.5546021828938
2.13,361.53417694192257
2.14,nan
2.15,nan
2.16,348.85664089583645
2.17,347.1837307343214
2.18,349.81899260981095
2.19,nan
